19	37	8	21	23	42	1	1	1	1	1	1	6	0	0	42	8	100	1764	64	10000	1828	0	0
11	36	43	44	30	18	1	1	1	1	1	1	6	0	0	44	11	127	1936	121	16129	2057	0	0
11	21	41	14	8	48	1	1	1	1	1	1	6	0	0	48	8	87	2304	64	7569	2368	0	0
15	43	44	12	40	24	1	1	1	1	1	1	6	0	0	44	12	122	1936	144	14884	2080	0	0
28	27	3	47	28	10	2	1	1	1	2	1	4	0	0	47	3	93	2209	9	8649	2218	0	0
3	46	37	37	15	23	1	1	2	2	1	1	4	0	0	46	3	112	2116	9	12544	2125	0	0
14	14	21	6	15	14	3	3	1	1	1	3	3	3	1	21	6	57	441	36	3249	477	0	0
41	22	28	46	39	43	1	1	1	1	1	1	6	0	0	46	22	151	2116	484	22801	2600	0	0
16	21	29	37	39	21	1	2	1	1	1	2	4	0	0	39	16	108	1521	256	11664	1777	0	0
8	22	15	5	26	40	1	1	1	1	1	1	6	0	0	40	5	71	1600	25	5041	1625	0	0
41	2	13	45	33	14	1	1	1	1	1	1	6	0	0	45	2	101	2025	4	10201	2029	0	0
21	9	4	11	2	40	1	1	1	1	1	1	6	0	0	40	2	45	1600	4	2025	1604	0	0
15	16	2	46	27	31	1	1	1	1	1	1	6	0	0	46	2	89	2116	4	7921	2120	0	0
27	18	28	3	18	27	2	2	1	1	2	2	2	0	0	28	3	90	784	9	8100	793	0	0
7	36	47	29	48	5	1	1	1	1	1	1	6	0	0	48	5	119	2304	25	14161	2329	0	0
47	36	33	49	38	28	1	1	1	1	1	1	6	0	0	49	28	154	2401	784	23716	3185	0	0
43	8	22	24	41	49	1	1	1	1	1	1	6	0	0	49	8	130	2401	64	16900	2465	0	0
29	26	24	14	17	43	1	1	1	1	1	1	6	0	0	43	14	96	1849	196	9216	2045	0	0
2	18	36	43	47	17	1	1	1	1	1	1	6	0	0	47	2	114	2209	4	12996	2213	0	0
49	6	13	21	46	45	1	1	1	1	1	1	6	0	0	49	6	125	2401	36	15625	2437	0	0
6	12	45	3	19	9	1	1	1	1	1	1	6	0	0	45	3	46	2025	9	2116	2034	0	0
26	19	30	16	42	43	1	1	1	1	1	1	6	0	0	43	16	117	1849	256	13689	2105	0	0
3	12	2	45	32	4	1	1	1	1	1	1	6	0	0	45	2	51	2025	4	2601	2029	0	0
27	38	8	48	35	14	1	1	1	1	1	1	6	0	0	48	8	114	2304	64	12996	2368	0	0
5	34	47	11	15	43	1	1	1	1	1	1	6	0	0	47	5	103	2209	25	10609	2234	0	0
